,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,tweet_preprocessed,positive_score,negative_score,neutral_score,compound_score,sentiment
0,frlorente,2018-07-18 11:37,0,0,"Imagen del éxito del #PrimeDay de @AmazonESP : descuentos en precios, salarios, derechos laborales, y de regalo represión policial. Todo un ejemplo de empresa irresponsable. Ánimo a @AmazonEnLucha en su tercer día de #HuelgaAmazon pic.twitter.com/HUcX9ZRAcg",,@AmazonESP @AmazonEnLucha,#PrimeDay #HuelgaAmazon,1019463538052657152,https://twitter.com/frlorente/status/1019463538052657152,"imagen del éxito del #primeday de @amazonesp : descuentos en precios, salarios, derechos laborales, de regalo represión policial. todo un ejemplo de empresa irresponsable. Ánimo @amazonenlucha en su tercer día de #huelgaamazon",0.0,0.0,1.0,0.0,neutral
2,startuprad_io,2018-07-18 11:36,1,1,Employees of #Amazon in Leipzig go in #strike during #PrimeDay . They demand better work conditions. It is yet unknown if this strike had any consequences ...$AMZN https:// twitter.com/ndaktuell/stat us/1019250379064832000 …,,,#Amazon #strike #PrimeDay,1019463404266905600,https://twitter.com/startuprad_io/status/1019463404266905600,employees #amazon leipzig go #strike #primeday . demand better work conditions. yet unknown strike consequences ...$amzn us/1019250379064832000 …,0.146,0.151,0.704,0.2263,neutral
3,baratukin,2018-07-18 11:35,0,0,"Conjunto de utensilios de cocina baja un 17% https:// baratukin.es/go/baratwit-21 /B006BSBRWK/0/t/21?utm_source=twitter&utm_medium=tweet_descuento&utm_campaign=B006BSBRWK … y se queda en 37.66€, son -7.74€. #primeday pic.twitter.com/KG2MAqLRBB",,,#primeday,1019463046631231488,https://twitter.com/baratukin/status/1019463046631231488,"conjunto de utensilios de cocina baja un % 21 /b006bsbrwk/0/t/21?utm_source=twitter&utm_medium=tweet_descuento&utm_campaign=b006bsbrwk … se queda en 6€, son 4€. #primeday",0.0,0.0,1.0,0.0,neutral
4,Jfilche,2018-07-18 11:34,0,0,So far 100% of my packages from #primeday are being shipped by $ AMZN logistics. Watch out USPS/UPS/FEDEX/DHL,,,#primeday,1019463006407647233,https://twitter.com/Jfilche/status/1019463006407647233,far % packages #primeday shipped $ amzn logistics. watch usps/ups/fedex/dhl,0.0,0.0,1.0,0.0,neutral
5,daandobber,2018-07-18 11:34,0,0,Na Black Friday en Singles Day hebben we nu blijkbaar nog een dag om te vieren dat we massaal troep mogen consumeren. #PrimeDay pic.twitter.com/zONeJNQuDp,,,#PrimeDay,1019462942931156992,https://twitter.com/daandobber/status/1019462942931156992,na black friday en singles day hebben nu blijkbaar nog een dag om te vieren dat massaal troep mogen consumeren. #primeday,0.0,0.0,1.0,0.0,neutral
7,meekorouse,2018-07-18 11:33,0,0,"#PrimeDay is bad for 1 thing though: taking advantage of add-on"" items, I realize when I'm low on lipstick I become some kind of lipstick addict.""",,,#PrimeDay,1019462699606929410,https://twitter.com/meekorouse/status/1019462699606929410,"#primeday bad thing though: taking advantage add-on"" items, realize i'm low lipstick become kind lipstick addict.""",0.235,0.243,0.522,-0.0516,neutral
8,ronjoshi8,2018-07-18 11:32,0,0,Almost bought a ukulele on $ amzn bcuz #PrimeDay,,,#PrimeDay,1019462478307254272,https://twitter.com/ronjoshi8/status/1019462478307254272,almost bought ukulele $ amzn bcuz #primeday,0.0,0.0,1.0,0.0,neutral
9,DeepcoolFrance,2018-07-18 11:32,0,0,"Castle 240RGB ou Castle 280RGB, quelle taille est ce que vous voulez? #Watercooing #PrimeDay pic.twitter.com/chz4abUWXS",,,#Watercooing #PrimeDay,1019462343720235008,https://twitter.com/DeepcoolFrance/status/1019462343720235008,"castle rgb ou castle rgb, quelle taille est ce que vous voulez? #watercooing #primeday",0.0,0.0,1.0,0.0,neutral
10,PCMag,2018-07-18 11:32,0,2,There's only one hour left in #PrimeDay ! Get one of these TV discounts while you can: http:// bit.ly/2zTE7xM pic.twitter.com/1frh7CRpDJ,,,#PrimeDay,1019462272928899072,https://twitter.com/PCMag/status/1019462272928899072,there's one hour left #primeday ! get one tv discounts can:,0.0,0.0,1.0,0.0,neutral
11,amazon,2018-07-18 11:31,5,14,"You've only got one more hour of #PrimeDay , and one more hour to pick up a @PicoBrewBeer for 49% off https:// amzn.to/2NWXFUA pic.twitter.com/nzlqJhtES9",,@PicoBrewBeer,#PrimeDay,1019462020792451072,https://twitter.com/amazon/status/1019462020792451072,"got one hour #primeday , one hour pick @picobrewbeer % 9",0.0,0.0,1.0,0.0,neutral
