,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,tweet_preprocessed,positive_score,negative_score,neutral_score,compound_score,sentiment
12,Kidzcoolit,2018-07-18 11:30,0,0,. @AmazonUK We’ve had just one day with our new Echo Show and we’re already in love with it. What a cracking and really useful family gadget!!! http:// bit.ly/2ze1PnP #EchoShow #AmazonEcho #WednesdayWisdom #PrimeDay #PrimeDay2018 . @TheAcademy_PR pic.twitter.com/eKgmGdlrYh,,@AmazonUK @TheAcademy_PR,#EchoShow #AmazonEcho #WednesdayWisdom #PrimeDay #PrimeDay2018,1019461997140873217,https://twitter.com/Kidzcoolit/status/1019461997140873217,. @amazonuk we’ve one day new echo show we’re already love it. cracking really useful family gadget!!! #echoshow #amazonecho #wednesdaywisdom #primeday #primeday2018 . @theacademy_pr,0.293,0.0,0.707,0.8507,positive
13,BasharJKatou,2018-07-18 11:30,0,0,BEST Product Launch Strategy-2018-Amazon FBA >> https://www. youtube.com/watch?v=FzBNmX p7n6o … . . #amazonfba #amazonseller #primeday #amazonprime,,,#amazonfba #amazonseller #primeday #amazonprime,1019461979600138240,https://twitter.com/BasharJKatou/status/1019461979600138240,best product launch strategy-2018-amazon fba >> . p7n6o … . . #amazonfba #amazonseller #primeday #amazonprime,0.276,0.0,0.724,0.6369,positive
14,206Premium,2018-07-18 11:30,0,0,"Yes i sure did scoop an Essential Phone on #Primeday Now i really want to buy a 360 camera, but it won't ship to the Netherlands :-( Can you help me out #essential ?",,,#Primeday #essential,1019461946842722304,https://twitter.com/206Premium/status/1019461946842722304,"yes sure scoop essential phone #primeday really want buy camera, ship netherlands :-( help #essential ?",0.486,0.112,0.402,0.7501,positive
15,TechYaYaBlog,2018-07-18 11:30,0,0,From TechYaYa Archives Our Pick Of the Best Amazon #PrimeDay Deals http:// techyaya.com/now/our-pick-o f-the-best-amazon-primeday-deals/ …,,,#PrimeDay,1019461874369216512,https://twitter.com/TechYaYaBlog/status/1019461874369216512,techyaya archives pick best amazon #primeday deals f-the-best-amazon-primeday-deals/ …,0.457,0.0,0.543,0.7096,positive
17,redcarwine,2018-07-18 11:30,0,0,We're running a #PrimeDay special on Sonoma Coast Syrah and Chardonnay! Take a look: http:// bit.ly/2ItPHPL . pic.twitter.com/g48n9ZL0tT,,,#PrimeDay,1019461793150889984,https://twitter.com/redcarwine/status/1019461793150889984,we're running #primeday special sonoma coast syrah chardonnay! take look: .,0.249,0.0,0.751,0.4574,positive
19,CNET,2018-07-18 11:30,1,0,"We're down to the last hour of #PrimeDay , and you can still win the day. pic.twitter.com/ta6riyUqaP",,,#PrimeDay,1019461765631918080,https://twitter.com/CNET/status/1019461765631918080,"we're last hour #primeday , still win day.",0.388,0.0,0.612,0.5859,positive
23,meekorouse,2018-07-18 11:29,0,0,Yay! So #PrimeDay was good for a $5 coupon off a couple amazon books (spend $20 or more before taxes etc) so I was able to order 2 of my 4 #HIST400 (Historiography) texts! Now I have to take the class I guess. https:// twitter.com/meekorouse/sta tus/1018527178076483584 …,,,#PrimeDay #HIST400,1019461569606967296,https://twitter.com/meekorouse/status/1019461569606967296,yay! #primeday good $5 coupon couple amazon books (spend $20 taxes etc) able order #hist400 (historiography) texts! take class guess. tus/1018527178076483584 …,0.311,0.0,0.689,0.8217,positive
31,_RobNick_,2018-07-18 11:26,0,0,"Nach dem Ende des #PrimeDay hat @amazonDE weitere Knaller auf Lager: Wenn man zwei Nivea-Artikel kauft, kriegt man einen Alptraum gratis dazu. Auch toll für Kinder. #Amazon #Wednesday https://www. amazon.de/s/browse/ref=g bph_tit_s-3_1f41_5ed91a89?ie=UTF8&node=10572896031&smid=A3JWKAKR8XB7XF&pf_rd_p=acf89a00-da13-49ba-bceb-582008681f41&pf_rd_s=slot-3&pf_rd_t=701&pf_rd_i=gb_main&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_r=WNMBFDG062ZH8QR3H7G4 … pic.twitter.com/x5bqLWoxB9",,@amazonDE,#PrimeDay #Amazon #Wednesday,1019460999706013696,https://twitter.com/_RobNick_/status/1019460999706013696,"nach dem ende des #primeday hat @amazonde weitere knaller auf lager: wenn man zwei nivea-artikel kauft, kriegt man einen alptraum gratis dazu. auch toll für kinder. #amazon #wednesday . bph_tit_s-3_1f41_5ed91a89?ie=utf8&node=10572896031&smid=a3jwkakr8xb7xf&pf_rd_p=acf89a00-da13-49ba-bceb-582008681f41&pf_rd_s=slot-3&pf_rd_t=701&pf_rd_i=gb_main&pf_rd_m=a3jwkakr8xb7xf&pf_rd_r=wnmbfdg062zh8qr3h7g4 … 9",0.136,0.0,0.864,0.5267,positive
39,dryestomnivore1,2018-07-18 11:22,0,0,I have all these PC parts in my amazon cart... stuck between treat myself and don’t do it save your money... #pcgaming #PrimeDay #pc #struggle,,,#pcgaming #PrimeDay #pc #struggle,1019459909090447360,https://twitter.com/dryestomnivore1/status/1019459909090447360,pc parts amazon cart... stuck treat don’t save money... #pcgaming #primeday #pc #struggle,0.409,0.108,0.484,0.6808,positive
44,Cherelynn,2018-07-18 11:20,0,0,If you like @NBCTheVoice then you will love #8DaysinHavasu Watch free on Prime here: https:// amzn.to/2txCNe6 #support #femalefilmmaker #primeday pic.twitter.com/daINK6j5Cv,,@NBCTheVoice,#8DaysinHavasu #support #femalefilmmaker #primeday,1019459268527960064,https://twitter.com/Cherelynn/status/1019459268527960064,like @nbcthevoice love #8daysinhavasu watch free prime here: #support #femalefilmmaker #primeday,0.556,0.0,0.444,0.875,positive
47,Azr1th,2018-07-18 11:18,0,0,Congrats to With_Faith for winning the first sub giveaway of the night! Come by for you chance in the next! http://Www. twitch.tv/azr1th #twitchprime #primeday #twitch #twitchstreamer … https://www. instagram.com/p/BlXKIH1h60D/ ?utm_source=ig_twitter_share&igshid=m9w80bqhvn65 …,,,#twitchprime #primeday #twitch #twitchstreamer,1019458989086642177,https://twitter.com/Azr1th/status/1019458989086642177,congrats with_faith winning first sub giveaway night! come chance next! . #twitchprime #primeday #twitch #twitchstreamer … . ?utm_source=ig_twitter_share&igshid=m9w80bqhvn65 …,0.401,0.0,0.599,0.855,positive
53,SacerdotusBooks,2018-07-18 11:15,0,0,Learn about the #Catholic faith and how to defend her. Get the book https:// shar.es/1ONNmo #yalit #PrimeDay pic.twitter.com/qmXydBvwWX #atheist #PuertoRicoStrong #booksfortrade #catholicism #PrimeDay2018 #CatholicChurch #sacerdotuswatch #HRDerby #AllStarGame,,,#Catholic #yalit #PrimeDay #atheist #PuertoRicoStrong #booksfortrade #catholicism #PrimeDay2018 #CatholicChurch #sacerdotuswatch #HRDerby #AllStarGame,1019458114448494593,https://twitter.com/SacerdotusBooks/status/1019458114448494593,learn #catholic faith defend her. get book #yalit #primeday #atheist #puertoricostrong #booksfortrade #catholicism #primeday2018 #catholicchurch #sacerdotuswatch #hrderby #allstargame,0.141,0.0,0.859,0.4215,positive
56,CNET,2018-07-18 11:15,0,2,"They're not glitzy nor glamorous, but they get the job done. Take advantage of the AmazonBasics that are discounted for #PrimeDay . https:// cnet.co/2LeNtZ7 pic.twitter.com/kHb2DEiqBQ",,,#PrimeDay,1019457997913894914,https://twitter.com/CNET/status/1019457997913894914,"they're glitzy glamorous, get job done. take advantage amazonbasics discounted #primeday .",0.448,0.0,0.552,0.6705,positive
64,dustinjgreene,2018-07-18 11:11,0,0,"Honestly, @amazon , I wasn't even a little mad about site issues during #PrimeDay because Biscuit is basically the most adorable dude ever.",,@amazon,#PrimeDay,1019457127553744896,https://twitter.com/dustinjgreene/status/1019457127553744896,"honestly, @amazon , even little mad site issues #primeday biscuit basically adorable dude ever.",0.324,0.152,0.523,0.5095,positive
